iter, time, cost, ls_iters, alpha, delta, q_norm, dq_norm, dqH_norm, trust_ratio, grad_norm, dL_dq, h_norm, merit
10, 0.038225813, 26662.810409468777, 0, nan, 9.5367431640625e-08, 12.079046789171736, 5.587414273181134e-12, 76721.51685400547, -10685.391300714839, 866694.5102140295, -3.0999893929706786e-06, 23.07171267428646, 26662.810409468777
11, 0.042242842, 26662.810409468777, 0, nan, 2.384185791015625e-08, 12.079046789171736, 1.3968535682952834e-12, 76721.51685400547, -32154.6561830152, 866694.5102140295, -7.749973482426697e-07, 23.07171267428646, 26662.810409468777
12, 0.039136763, 26662.810409468777, 0, nan, 5.960464477539063e-09, 12.079046789171736, 3.4921339207382085e-13, 76721.51685400547, -115597.18720125528, 866694.5102140295, -1.937493370606674e-07, 23.07171267428646, 26662.810409468777
13, 0.03659397, 26662.810409468777, 0, nan, 1.4901161193847657e-09, 12.079046789171736, 8.730334801845521e-14, 76721.51685400547, -227166.84342214925, 866694.5102140295, -4.843733426516685e-08, 23.07171267428646, 26662.810409468777
14, 0.037734633, 26662.810409468777, 0, nan, 3.7252902984619143e-10, 12.079046789171736, 2.1825837004613803e-14, 76721.51685400547, -1605243.0003174737, 866694.5102140295, -1.2109333566291713e-08, 23.07171267428646, 26662.810409468777
15, 0.039413754, 26662.810409468777, 0, nan, 9.313225746154786e-11, 12.079046789171736, 5.456459251153451e-15, 76721.51685400547, -6627851.869642668, 866694.5102140295, -3.0273333915729283e-09, 23.07171267428646, 26662.810409468777
16, 0.038661604, 26662.810409468777, 0, nan, 2.3283064365386964e-11, 12.079046789171736, 1.3641148127883627e-15, 76721.51685400547, -23281714.5116525, 866694.5102140295, -7.568333478932321e-10, 23.07171267428646, 26662.810409468777
17, 0.034977496, 26662.810409468777, 0, nan, 5.820766091346741e-12, 12.079046789171736, 3.4102870319709067e-16, 76721.51685400547, -80359557.01292002, 866694.5102140295, -1.8920833697330802e-10, 23.07171267428646, 26662.810409468777
18, 0.03649602, 26662.810409468777, 0, nan, 1.4551915228366853e-12, 12.079046789171736, 8.525717579927267e-17, 76721.51685400547, 289614286.4841556, 866694.5102140295, -4.7302084243327005e-11, 23.07171267428646, 26662.810409468777
19, 0.057245444, 26297.547739399517, 0, nan, 2.9103830456733705e-12, 12.079046789171736, 6.242919550299097e-16, 299799.25111910066, -507511221.93862563, 160417.03851569848, -1.775355762293148e-11, 22.912849502483212, 26297.547739399517
20, 0.055343389, 26297.547739399517, 0, nan, 7.275957614183426e-13, 12.079046789171736, 1.5607298875747743e-16, 299799.25111910066, -5672378834.050741, 160417.03851569848, -4.43838940573287e-12, 22.912849502483212, 26297.547739399517
21, 0.054152908, 26297.547739399517, 0, nan, 1.8189894035458566e-13, 12.079046789171736, 3.901824718936936e-17, 299799.25111910066, 0.22242026370730564, 160417.03851569848, -1.1095973514332176e-12, 22.912849502483212, 26297.547739399517
22, 0.049028113, 26297.547739393027, 0, nan, 4.5474735088646414e-14, 12.079046789171736, 9.399138423542597e-18, 73549.66374251294, 0, 162187.33989456375, -2.80460611366791e-13, 22.912849502480377, 26297.547739393027
23, 0.051274059, 26297.547739393027, 0, nan, 1.1368683772161604e-14, 12.079046789171736, 2.349784605885649e-18, 73549.66374251294, 0, 162187.33989456375, -7.011515284169775e-14, 22.912849502480377, 26297.547739393027
24, 0.051742451, 26297.547739393027, 0, nan, 2.842170943040401e-15, 12.079046789171736, 5.874461514714123e-19, 73549.66374251294, 0, 162187.33989456375, -1.7528788210424436e-14, 22.912849502480377, 26297.547739393027
25, 0.051077185, 26297.547739393027, 0, nan, 7.105427357601002e-16, 12.079046789171736, 1.4686153786785307e-19, 73549.66374251294, 0, 162187.33989456375, -4.382197052606109e-15, 22.912849502480377, 26297.547739393027
26, 0.054668958, 26297.547739393027, 0, nan, 1.7763568394002506e-16, 12.079046789171736, 3.671538446696327e-20, 73549.66374251294, 0, 162187.33989456375, -1.0955492631515273e-15, 22.912849502480377, 26297.547739393027
